GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Migrations,org.apache.ibatis.migration.options,DatabaseOperationOption,3,75,0,4,1,27,1,18,1,16
MyBatis Migrations,org.apache.ibatis.migration.options,SelectedOptions,0,63,0,0,0,25,0,16,0,16
MyBatis Migrations,org.apache.ibatis.migration.options,Options,0,108,0,0,0,10,0,4,0,4
MyBatis Migrations,org.apache.ibatis.migration.options,OptionsParser.new Object() {...},9,59,0,0,0,1,0,1,0,1
MyBatis Migrations,org.apache.ibatis.migration.options,OptionsParser,14,154,2,18,1,36,5,16,3,4
MyBatis Migrations,org.apache.ibatis.migration.options,SelectedPaths,0,61,0,6,0,14,0,12,0,9
MyBatis Migrations,org.apache.ibatis.migration.operations,UpOperation,28,108,3,15,4,28,3,9,0,3
MyBatis Migrations,org.apache.ibatis.migration.operations,BootstrapOperation,27,55,3,5,4,18,3,4,0,3
MyBatis Migrations,org.apache.ibatis.migration.operations,VersionOperation,26,125,5,11,4,25,5,6,0,3
MyBatis Migrations,org.apache.ibatis.migration.operations,StatusOperation,4,121,1,9,1,28,1,9,0,5
MyBatis Migrations,org.apache.ibatis.migration.operations,PendingOperation,28,108,2,8,4,25,2,6,0,3
MyBatis Migrations,org.apache.ibatis.migration.operations,DatabaseOperation,81,292,7,13,8,54,7,14,0,11
MyBatis Migrations,org.apache.ibatis.migration.operations,DownOperation,55,135,5,9,8,33,5,6,0,4
MyBatis Migrations,org.apache.ibatis.migration,MigrationReader.new HashSet() {...},0,56,0,0,0,3,0,1,0,1
MyBatis Migrations,org.apache.ibatis.migration,MigrationReader.new Properties() {...},2,36,1,5,0,3,1,5,0,3
MyBatis Migrations,org.apache.ibatis.migration,JavaMigrationLoader,59,199,8,12,9,48,8,9,0,7
MyBatis Migrations,org.apache.ibatis.migration,JavaMigrationLoader.new ResolverUtil.Test() {...},0,25,1,5,0,2,1,4,0,2
MyBatis Migrations,org.apache.ibatis.migration,MigrationReader,13,133,2,12,2,29,3,11,1,6
MyBatis Migrations,org.apache.ibatis.migration,Migrator,3,6,0,0,1,2,1,1,1,1
MyBatis Migrations,org.apache.ibatis.migration,Change,8,97,3,5,3,28,4,15,1,14
MyBatis Migrations,org.apache.ibatis.migration,DataSourceConnectionProvider,0,10,0,0,0,4,0,2,0,2
MyBatis Migrations,org.apache.ibatis.migration,CommandLine,34,436,9,13,6,71,9,9,0,7
MyBatis Migrations,org.apache.ibatis.migration,JdbcConnectionProvider,0,23,0,0,0,7,0,2,0,2
MyBatis Migrations,org.apache.ibatis.migration,MigrationException,12,4,0,0,6,2,3,1,3,1
MyBatis Migrations,org.apache.ibatis.migration,FileMigrationLoader,51,151,4,12,8,31,4,9,0,5
MyBatis Migrations,org.apache.ibatis.migration.utils,Util,14,32,0,4,0,3,3,5,3,3
MyBatis Migrations,org.apache.ibatis.migration.commands,VersionCommand,19,46,1,1,3,12,1,4,0,4
MyBatis Migrations,org.apache.ibatis.migration.commands,DownCommand,0,25,0,0,0,5,0,2,0,2
MyBatis Migrations,org.apache.ibatis.migration.commands,InfoCommand,223,0,24,0,42,0,15,0,3,0
MyBatis Migrations,org.apache.ibatis.migration.commands,InitializeCommand,38,125,6,4,4,25,4,5,0,4
MyBatis Migrations,org.apache.ibatis.migration.commands,Commands,26,188,3,12,2,25,4,14,1,5
MyBatis Migrations,org.apache.ibatis.migration.commands,Commands.new Command() {...},7,0,0,0,3,0,2,0,2,0
MyBatis Migrations,org.apache.ibatis.migration.commands,Commands.new Object() {...},10,65,0,0,0,1,0,1,0,1
MyBatis Migrations,org.apache.ibatis.migration.commands,PendingCommand,0,20,0,0,0,5,0,2,0,2
MyBatis Migrations,org.apache.ibatis.migration.commands,NewCommand,36,105,3,7,3,25,3,5,0,3
MyBatis Migrations,org.apache.ibatis.migration.commands,StatusCommand,3,19,0,0,1,4,1,2,1,2
MyBatis Migrations,org.apache.ibatis.migration.commands,BaseCommand,245,344,23,19,32,80,21,18,2,16
MyBatis Migrations,org.apache.ibatis.migration.commands,InitializeCommand.new Properties() {...},0,11,0,0,0,3,0,1,0,1
MyBatis Migrations,org.apache.ibatis.migration.commands,BootstrapCommand,0,23,0,0,0,5,0,2,0,2
MyBatis Migrations,org.apache.ibatis.migration.commands,UpCommand,2,38,1,1,0,9,1,3,0,3
MyBatis Migrations,org.apache.ibatis.migration.commands,ScriptCommand,28,262,6,30,4,42,6,18,0,6
